,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,8,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,10.95,Toyota
48,Hyundai Xcent 1.1 CRDi S,Jaipur,6,75000,Diesel,Manual,First,24.4,1120,71.0,5.0,3.85,Hyundai
49,Mahindra Thar CRDe AC,Jaipur,8,75800,Diesel,Manual,Second,16.55,2498,105.0,6.0,5.5,Mahindra
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,5,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,21.43,Audi
51,Maruti Swift LDI,Delhi,6,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,4.25,Maruti
52,Maruti Swift Ldi BSIV,Kolkata,6,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,3.3,Maruti
53,Maruti Swift VDI,Delhi,7,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,3.85,Maruti
54,Hyundai Grand i10 Sportz,Chennai,5,54000,Petrol,Manual,Third,18.9,1197,82.0,5.0,3.6,Hyundai
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,5,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,3.99,Volkswagen
56,Renault KWID RXT,Kochi,3,16542,Petrol,Manual,First,25.17,799,53.3,5.0,3.3,Renault
57,Hyundai i10 Asta,Kolkata,10,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.07,Hyundai
58,Nissan X-Trail SLX AT,Hyderabad,10,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,7.75,Nissan
59,Maruti Zen Estilo VXI BSIII,Hyderabad,10,39300,Petrol,Manual,First,18.2,998,67.1,5.0,2.25,Maruti
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,3,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,16.5,Toyota
61,Ford Figo Diesel Titanium,Bangalore,10,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.75,Ford
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,5,58000,Petrol,Automatic,First,11.74,1796,186.0,5.0,26.7,Mercedes
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,9,65000,Diesel,Manual,Second,15.8,2148,170.0,5.0,10.0,Mercedes
64,Tata Indica V2 eLS,Chennai,4,178000,Diesel,Manual,First,25.0,1396,69.0,5.0,2.5,Tata
65,Audi A4 2.0 TDI Multitronic,Jaipur,8,65664,Diesel,Automatic,First,16.55,1968,140.0,5.0,13.5,Audi
66,Honda City ZX CVT,Mumbai,13,63000,Petrol,Automatic,Second,16.4,1497,78.0,5.0,1.85,Honda
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,1,15369,Diesel,Automatic,First,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0        26.6
1       19.67
2        18.2
3       20.77
4        15.2
        ...  
5867     28.4
5868     24.4
5869     14.0
5870     18.9
5871    25.44
Name: Mileage, Length: 5872, dtype: object>",1950,194.0,5.0,35.67,Mercedes
68,Maruti Ertiga SHVS VDI,Pune,4,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,8.15,Maruti
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,10.5,Hyundai
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,12,73000,Petrol,Automatic,First,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0        26.6
1       19.67
2        18.2
3       20.77
4        15.2
        ...  
5867     28.4
5868     24.4
5869     14.0
5870     18.9
5871    25.44
Name: Mileage, Length: 5872, dtype: object>",4806,500.0,5.0,14.5,Porsche
71,Mahindra XUV500 W8 4WD,Mumbai,5,55729,Diesel,Manual,First,15.1,2179,140.0,7.0,9.65,Mahindra
72,Hyundai i10 Sportz 1.2 AT,Kochi,8,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,3.48,Hyundai
73,Nissan Terrano XV D Pre,Kochi,5,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,6.92,Nissan
74,Honda Brio VX AT,Coimbatore,4,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,6.46,Honda
75,Audi A6 2.0 TDI Design Edition,Delhi,6,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,29.5,Audi
76,Toyota Innova 2.0 G1,Chennai,14,230000,Petrol,Manual,Third,12.4,1998,132.0,8.0,4.5,Toyota
77,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,8,104000,Diesel,Manual,First,12.8,2494,102.0,7.0,11.75,Toyota
78,Maruti Swift VDI,Jaipur,8,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,3.75,Maruti
79,Tata Zest Revotron 1.2T XE,Pune,3,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,4.5,Tata
80,Honda Amaze SX i-VTEC,Kochi,4,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,4.82,Honda
81,Ford Figo Diesel ZXI,Hyderabad,8,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,2.8,Ford
82,Maruti Ritz VDi,Jaipur,7,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,3.11,Maruti
83,Honda City i VTEC E,Delhi,11,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,3.25,Honda
84,BMW 5 Series 2003-2012 525d,Delhi,9,75000,Diesel,Automatic,Second,16.73,1995,218.0,5.0,13.9,BMW
85,Hyundai i10 Sportz 1.2,Pune,11,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,2.25,Hyundai
86,Hyundai Grand i10 Sportz,Bangalore,4,16000,Petrol,Manual,First,18.9,1197,82.0,5.0,5.75,Hyundai
87,Honda Amaze SX i-VTEC,Mumbai,4,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,5.0,Honda
88,Toyota Fortuner 4x2 Manual,Delhi,6,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,16.5,Toyota
89,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,39.58,Audi
90,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,7,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,5.5,Ford
91,Mahindra XUV500 W8 2WD,Delhi,6,58000,Diesel,Manual,First,15.1,2179,140.0,7.0,8.1,Mahindra
92,Honda Amaze SX i-DTEC,Kolkata,5,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda
93,Volkswagen Polo Diesel Highline 1.2L,Kolkata,7,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,2.79,Volkswagen
94,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,10,70002,Diesel,Manual,First,16.2,1493,110.0,5.0,3.45,Hyundai
95,Maruti Wagon R VXI BS IV,Bangalore,4,62000,Petrol,Manual,First,18.9,998,67.1,5.0,4.45,Maruti
96,Volkswagen Polo Petrol Highline 1.6L,Delhi,10,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,2.65,Volkswagen
97,Hyundai i20 1.4 CRDi Sportz,Pune,9,78958,Diesel,Manual,Second,23.0,1396,90.0,5.0,3.8,Hyundai
98,Hyundai i20 Asta 1.2,Mumbai,6,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,4.65,Hyundai
99,Datsun GO Plus T Petrol,Pune,3,32851,Petrol,Manual,First,19.83,1198,67.0,7.0,3.95,Datsun
100,Audi A4 3.0 TDI Quattro Premium,Kolkata,10,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,9.8,Audi
101,Hyundai i20 2015-2017 Asta,Pune,11,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,2.7,Hyundai
102,Maruti Omni 5 Str STD,Coimbatore,10,93850,Petrol,Manual,First,14.0,796,35.0,5.0,2.41,Maruti
103,Toyota Etios Liva 1.2 G,Ahmedabad,6,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,3.9,Toyota
104,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,9,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,24.0,Jaguar
105,Mahindra XUV500 W8 2WD,Delhi,8,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,5.75,Mahindra
106,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,6,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5.25,Hyundai
107,Toyota Innova Crysta 2.8 ZX AT,Mumbai,3,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.25,Toyota
108,Maruti Eeco 5 Seater AC,Coimbatore,3,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,3.91,Maruti
109,Tata Nano Twist XT,Bangalore,6,25500,Petrol,Manual,First,25.4,624,37.5,4.0,2.15,Tata
110,BMW 3 Series 320d Luxury Line,Mumbai,5,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,20.75,BMW
111,Honda Civic 2006-2010 1.8 V MT,Delhi,10,71088,Petrol,Manual,First,13.5,1799,130.0,5.0,3.35,Honda
112,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,6,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,11.11,Toyota
113,Volvo V40 Cross Country D3,Bangalore,6,32700,Diesel,Automatic,First,23.3,1984,150.0,5.0,20.0,Volvo
114,Nissan Micra XV CVT,Coimbatore,4,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,6.55,Nissan
115,BMW 5 Series 2010-2013 525i,Mumbai,11,128000,Petrol,Automatic,First,10.8,2497,215.0,5.0,7.0,BMW
116,Maruti Vitara Brezza VDi,Mumbai,4,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.5,Maruti
117,Mercedes-Benz B Class B200 CDI,Pune,6,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,16.75,Mercedes
118,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,10.95,Hyundai
119,Maruti Wagon R LXI BS IV,Pune,9,43874,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,Maruti
120,Tata Nano XTA,Coimbatore,3,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,3.23,Tata
121,Mahindra Scorpio VLX,Kolkata,6,42000,Diesel,Manual,First,12.05,2179,120.0,8.0,7.75,Mahindra
122,Mercedes-Benz New C-Class 200 K AT,Kolkata,11,28352,Petrol,Automatic,First,11.7,1796,178.0,5.0,9.35,Mercedes
123,Maruti Wagon R LXI CNG,Pune,7,89900,CNG,Manual,First,26.6,998,58.16,5.0,3.25,Maruti
124,Honda CR-V 2.4 MT,Bangalore,13,47700,Petrol,Manual,Second,10.8,2354,152.0,5.0,5.25,Honda
125,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,5,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,7.25,Volkswagen
126,Maruti Ciaz VXi Plus,Kochi,3,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,7.47,Maruti
127,Mahindra XUV500 AT W10 FWD,Jaipur,4,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,13.25,Mahindra
128,Maruti Ritz VXI ABS,Coimbatore,4,30232,Petrol,Manual,First,21.1,1197,85.8,5.0,5.81,Maruti
129,Maruti Alto K10 VXI,Hyderabad,6,88500,Petrol,Manual,First,24.07,998,67.1,5.0,2.6,Maruti
130,Mercedes-Benz SLC 43 AMG,Kolkata,3,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,54.0,Mercedes
131,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,1,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,11.5,Hyundai
132,Maruti Alto LXi BSIII,Chennai,10,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,1.6,Maruti
133,BMW 1 Series 118d Base,Coimbatore,5,31821,Diesel,Automatic,First,20.58,1995,143.0,5.0,17.22,BMW
134,Honda Jazz 1.2 V CVT i VTEC,Mumbai,5,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6.0,Honda
135,Honda Civic 2006-2010 1.8 V MT,Delhi,8,88578,Petrol,Manual,First,13.5,1799,130.0,5.0,3.95,Honda
136,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,6,44965,Diesel,Automatic,First,19.27,2143,170.0,5.0,17.95,Mercedes
137,Honda Amaze SX i-DTEC,Kolkata,6,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,3.7,Honda
138,Maruti Swift VVT VXI,Kochi,4,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,5.43,Maruti
139,Toyota Fortuner 3.0 Diesel,Coimbatore,8,91235,Diesel,Manual,First,11.5,2982,171.0,7.0,13.49,Toyota
140,Chevrolet Beat LT Option,Pune,6,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,2.85,Chevrolet
141,Skoda Rapid 1.5 TDI Elegance,Chennai,7,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,4.75,Skoda
142,Maruti Ciaz 1.4 Alpha,Kochi,2,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,9.9,Maruti
143,Audi RS5 Coupe,Mumbai,7,23000,Petrol,Automatic,First,11.05,2894,444.0,4.0,37.0,Audi
144,BMW 3 Series Luxury Line,Mumbai,6,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,26.5,BMW
145,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,5,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,23.32,Audi
146,Maruti Swift VDI,Chennai,4,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,6.25,Maruti
147,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,10,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,30.0,Mercedes
148,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,4,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,9.86,Skoda
149,Skoda Superb Elegance 2.0 TDI CR AT,Pune,8,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,8.5,Skoda
150,Hyundai EON Magna Plus,Kochi,1,14322,Petrol,Manual,First,21.1,814,55.2,5.0,4.23,Hyundai
151,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,8,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,3.5,Volkswagen
152,Datsun GO NXT,Kolkata,4,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,2.5,Datsun
153,Honda Brio S MT,Kolkata,7,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,2.39,Honda
154,Mercedes-Benz B Class B180,Delhi,7,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.25,Mercedes
155,Honda City i DTEC V,Kochi,5,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,7.11,Honda
156,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,4,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,10.9,Toyota
157,Maruti Swift VXI Optional,Ahmedabad,3,24005,Petrol,Manual,First,20.4,1197,81.8,5.0,6.2,Maruti
158,Mahindra XUV500 W8 2WD,Mumbai,8,32792,Diesel,Manual,First,15.1,2179,140.0,7.0,7.9,Mahindra
159,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,6,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,4.42,Ford
160,Toyota Fortuner 4x2 Manual,Mumbai,8,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,13.5,Toyota
161,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,7,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,6.25,Volkswagen
162,Ford Figo Diesel Titanium,Jaipur,10,66123,Diesel,Manual,Second,20.0,1399,68.0,5.0,2.1,Ford
163,BMW X5 xDrive 30d,Mumbai,5,41000,Diesel,Automatic,First,15.3,2993,258.0,5.0,45.0,BMW
164,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,3,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,33.66,Mercedes
165,Honda Brio V MT,Bangalore,8,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,3.65,Honda
166,Hyundai i10 Magna 1.2,Delhi,7,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,Hyundai
167,Mercedes-Benz GLC 220,Bangalore,4,44414,Diesel,Automatic,First,17.9,2143,170.0,5.0,42.5,Mercedes
168,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,1,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,6.5,Hyundai
169,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,8,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,19.0,Audi
170,Volkswagen Vento Petrol Highline AT,Mumbai,7,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,4.45,Volkswagen
171,Mini Countryman Cooper D,Jaipur,3,8525,Diesel,Automatic,Second,16.6,1998,112.0,5.0,23.0,Mini
172,Hyundai i20 Asta 1.4 CRDi,Bangalore,6,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,8.35,Hyundai
173,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,6,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,22.95,Audi
174,Chevrolet Beat Diesel LT,Jaipur,8,88000,Diesel,Manual,First,25.44,936,57.6,5.0,1.5,Chevrolet
175,Skoda Superb Elegance 1.8 TSI AT,Kochi,8,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,6.89,Skoda
176,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,14,216000,Diesel,Manual,Second,17.8,1399,68.0,5.0,1.45,Ford
177,BMW 5 Series 520d Luxury Line,Hyderabad,6,51000,Diesel,Automatic,First,22.48,1995,190.0,5.0,33.5,BMW
178,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,13,118500,Petrol,Manual,First,12.9,1598,102.5,5.0,1.25,Chevrolet
179,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,8,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.2,Volkswagen
180,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,5,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,6.75,Renault
181,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,6,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,32.0,Mercedes
182,Maruti Baleno Alpha,Kochi,3,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,7.5,Maruti
183,Hyundai Verna 1.6 SX,Delhi,8,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,4.6,Hyundai
184,Hyundai i10 Magna 1.1,Kochi,3,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,4.04,Hyundai
185,Mahindra Scorpio 1.99 S10 4WD,Kochi,4,56739,Diesel,Manual,First,15.4,1997,120.0,7.0,10.31,Mahindra
186,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,55.76,Land
187,Ford Figo Diesel ZXI,Chennai,10,120000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.6,Ford
188,Maruti Ertiga ZDI,Mumbai,4,33000,Diesel,Manual,First,25.47,1248,88.5,7.0,8.5,Maruti
189,Honda Amaze S i-Dtech,Kolkata,6,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda
190,Hyundai i10 Magna,Jaipur,5,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,3.55,Hyundai
191,Honda Amaze S i-Dtech,Kolkata,7,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.25,Honda
192,Skoda Laura Ambiente,Hyderabad,12,113000,Diesel,Manual,First,17.5,1896,106.0,5.0,4.5,Skoda
193,Renault Duster 85PS Diesel RxL,Delhi,6,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,5.35,Renault
194,Mahindra NuvoSport N6,Chennai,3,29000,Diesel,Manual,Second,17.45,1493,100.0,7.0,6.5,Mahindra
195,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,4,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.0,Maruti
196,Hyundai i20 Asta Option 1.2,Kochi,4,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,6.0,Hyundai
197,Skoda Fabia 1.4 MPI Ambiente,Jaipur,11,87459,Petrol,Manual,First,14.7,1390,85.0,5.0,2.75,Skoda
198,Tata Indigo eCS GLX,Pune,10,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,1.5,Tata
199,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,5,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,19.9,Audi
200,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,6,76000,Petrol,Automatic,First,14.7,1798,177.5,5.0,10.0,Skoda
201,Toyota Etios Liva GD SP,Delhi,6,104000,Diesel,Manual,First,23.59,1364,67.06,5.0,3.0,Toyota
202,Mercedes-Benz B Class B180,Kochi,6,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.96,Mercedes
